Trial,Track Layout,Vehicle,ID,Speed,Lane,Battery Level,Average Velocity
1,oval,GROUNDSHOCK,1370906631,511,1,3794,59.71983174816061
1,oval,GROUNDSHOCK,726831624,496,3,0,60.22431809596484
2,oval,GROUNDSHOCK,726831624,503,3,3579,60.07458524917141
2,oval,GROUNDSHOCK,1370906631,490,1,3790,60.17127216583263
3,oval,GROUNDSHOCK,726831624,492,3,3610,60.29113951071979
3,oval,GROUNDSHOCK,1370906631,514,1,0,59.40304772057921
4,oval,GROUNDSHOCK,1370906631,489,1,3797,59.37164914013488
4,oval,GROUNDSHOCK,726831624,494,3,3573,59.884879053984
5,oval,GROUNDSHOCK,1370906631,501,1,3782,59.67040937746528
5,oval,GROUNDSHOCK,726831624,503,3,3571,60.301164005754586
6,oval,GROUNDSHOCK,1370906631,470,1,3780,59.68722103099875
6,oval,GROUNDSHOCK,726831624,489,3,0,60.06248004346257
7,oval,GROUNDSHOCK,726831624,490,3,3565,60.32981667127568
7,oval,GROUNDSHOCK,1370906631,484,1,0,59.538193810953
8,oval,GROUNDSHOCK,1370906631,496,1,3779,59.682937944130586
8,oval,GROUNDSHOCK,726831624,499,3,3560,60.25282434371037
9,oval,GROUNDSHOCK,726831624,499,3,3554,60.13380093013209
9,oval,GROUNDSHOCK,1370906631,509,1,3814,59.31727056792779
10,oval,GROUNDSHOCK,1370906631,497,1,3773,59.395238295537624
10,oval,GROUNDSHOCK,726831624,509,3,0,60.32305025193756
11,oval,GROUNDSHOCK,1370906631,500,1,3795,59.66006539328721
11,oval,GROUNDSHOCK,726831624,492,3,0,59.93124955975386
12,oval,GROUNDSHOCK,1370906631,475,1,3781,59.593362019358594
12,oval,GROUNDSHOCK,726831624,501,3,3546,60.06485993908361
13,oval,GROUNDSHOCK,1370906631,493,1,3769,59.51785287072023
13,oval,GROUNDSHOCK,726831624,506,3,3566,60.00332464447594
14,oval,GROUNDSHOCK,726831624,508,3,3536,60.32664764298546
14,oval,GROUNDSHOCK,1370906631,494,1,0,59.451490072077334
15,oval,GROUNDSHOCK,1370906631,471,1,3767,59.287814324887904
15,oval,GROUNDSHOCK,726831624,504,3,3535,60.28220030335317
16,oval,GROUNDSHOCK,726831624,508,3,3529,60.293370266272554
16,oval,GROUNDSHOCK,1370906631,490,1,3782,59.62220839690673
17,oval,GROUNDSHOCK,726831624,494,3,3528,60.18195225309097
17,oval,GROUNDSHOCK,1370906631,495,1,0,59.78868475081051
18,oval,GROUNDSHOCK,1370906631,492,1,3779,59.51929045376356
18,oval,GROUNDSHOCK,726831624,497,3,0,60.1935054227655
19,oval,GROUNDSHOCK,1370906631,492,1,3765,59.38120314905353
19,oval,GROUNDSHOCK,726831624,498,3,3524,60.072292563377985
20,oval,GROUNDSHOCK,1370906631,488,1,3763,59.88559080178396
20,oval,GROUNDSHOCK,726831624,510,3,3519,60.18887254979719
21,oval,GROUNDSHOCK,1370906631,492,1,3825,59.70223626398058
21,oval,GROUNDSHOCK,726831624,496,3,3513,59.95365034870241
22,oval,GROUNDSHOCK,1370906631,484,1,3777,59.44475148511342
22,oval,GROUNDSHOCK,726831624,505,3,3511,60.26965022116131
23,oval,GROUNDSHOCK,1370906631,503,1,3763,59.39021064976346
23,oval,GROUNDSHOCK,726831624,497,3,3505,60.34415240001091
24,oval,GROUNDSHOCK,1370906631,490,1,3750,59.463791480872956
24,oval,GROUNDSHOCK,726831624,510,3,0,60.34119927572275
25,oval,GROUNDSHOCK,1370906631,495,1,3752,59.56051166542527
25,oval,GROUNDSHOCK,726831624,499,3,0,60.268055596621956
26,oval,GROUNDSHOCK,1370906631,492,1,3750,59.63187311873362
26,oval,GROUNDSHOCK,726831624,502,3,3499,60.28244592228028
27,oval,GROUNDSHOCK,726831624,501,3,3495,60.087101938784215
27,oval,GROUNDSHOCK,1370906631,478,1,3748,59.37889879281194
28,oval,GROUNDSHOCK,1370906631,481,1,3746,59.31287884785826
28,oval,GROUNDSHOCK,726831624,497,3,0,60.10396612774014
29,oval,GROUNDSHOCK,1370906631,491,1,3744,59.5949343728213
29,oval,GROUNDSHOCK,726831624,495,3,0,60.050375674087604
30,oval,GROUNDSHOCK,1370906631,474,1,3743,59.56987281527482
30,oval,GROUNDSHOCK,726831624,495,3,3539,60.01492073930437
1,oval,MXT,-451518201,520,1,3857,60.06048002608263
1,oval,MXT,-1052728562,512,3,3816,60.1518077021603
2,oval,MXT,-451518201,499,1,3884,59.86913124151975
2,oval,MXT,-1052728562,500,3,3804,59.91485384783008
3,oval,MXT,-451518201,491,1,3836,59.822584180179504
3,oval,MXT,-1052728562,496,3,0,59.71931608816506
4,oval,MXT,-451518201,494,1,3829,59.90425811368931
4,oval,MXT,-1052728562,470,0,0,53.451881009237205
5,oval,MXT,-1052728562,475,0,3810,54.14480754565837
5,oval,MXT,-451518201,503,1,3830,60.03106672036987
6,oval,MXT,-1052728562,499,3,3806,59.909006632412726
6,oval,MXT,-451518201,509,1,3827,57.36843991035202
7,oval,MXT,-451518201,489,0,3830,53.258011636858384
7,oval,MXT,-1052728562,518,3,3787,59.91784718901963
8,oval,MXT,-451518201,499,0,3847,54.29257807457816
8,oval,MXT,-1052728562,478,3,3784,59.92422326939222
9,oval,MXT,-1052728562,507,3,3802,59.89100374160385
9,oval,MXT,-451518201,487,1,3818,59.965091728466824
10,oval,MXT,-451518201,478,1,3811,60.13174888730309
10,oval,MXT,-1052728562,521,3,3781,60.18711611415283
11,oval,MXT,-1052728562,486,3,3777,59.94507472232416
11,oval,MXT,-451518201,496,0,3817,53.33834309043684
12,oval,MXT,-451518201,481,1,3804,59.938113769568986
12,oval,MXT,-1052728562,468,0,3777,53.13693925655639
13,oval,MXT,-1052728562,486,3,3773,59.95294168443017
13,oval,MXT,-451518201,481,0,3807,53.148588484675784
14,oval,MXT,-451518201,488,0,3800,53.82496307140851
14,oval,MXT,-1052728562,495,3,0,59.80874924163368
15,oval,MXT,-1052728562,500,3,3769,59.98011551105215
15,oval,MXT,-451518201,472,1,0,59.82652025295529
16,oval,MXT,-1052728562,518,3,3768,59.94513343389249
16,oval,MXT,-451518201,514,1,3838,57.21308928352209
17,oval,MXT,-451518201,518,1,0,59.981656953295364
17,oval,MXT,-1052728562,476,3,3850,59.95489784763306
18,oval,MXT,-451518201,467,1,3794,62.44860532897917
18,oval,MXT,-1052728562,513,3,3765,59.87535818131106
19,oval,MXT,-1052728562,513,3,3761,60.11478233736684
19,oval,MXT,-451518201,497,1,3797,59.873897763231795
20,oval,MXT,-451518201,484,0,3821,53.3109343454855
20,oval,MXT,-1052728562,496,3,3764,60.18239858369791
21,oval,MXT,-1052728562,488,3,3816,60.03817811247886
21,oval,MXT,-451518201,480,1,0,60.24884185650272
22,oval,MXT,-451518201,519,1,3791,60.15107698144696
22,oval,MXT,-1052728562,488,3,3758,59.8325853845253
23,oval,MXT,-1052728562,488,3,3780,59.93092751613521
23,oval,MXT,-451518201,495,0,0,48.55529460135585
24,oval,MXT,-1052728562,511,3,3762,59.94578422882442
24,oval,MXT,-451518201,494,1,3789,59.92388199149038
25,oval,MXT,-1052728562,514,3,3749,59.701933412163825
25,oval,MXT,-451518201,506,0,0,53.20982154275231
26,oval,MXT,-451518201,498,0,3790,53.14133110467898
26,oval,MXT,-1052728562,498,3,3831,59.71480023878623
27,oval,MXT,-1052728562,498,3,3753,59.75957391384027
27,oval,MXT,-451518201,504,1,3776,59.81279249185807
28,oval,MXT,-1052728562,474,3,3748,59.74081315085459
28,oval,MXT,-451518201,544,1,3774,60.10718528257796
29,oval,MXT,-1052728562,468,3,3742,60.09668303201315
29,oval,MXT,-451518201,481,1,3770,60.012023605558014
30,oval,MXT,-1052728562,469,3,3765,59.634759646226215
30,oval,MXT,-451518201,500,1,3768,59.674953161925416
1,oval,SKULL,1822904841,514,3,3778,60.45828156692778
1,oval,SKULL,-1151172088,490,0,4081,54.089306544289784
2,oval,SKULL,-1151172088,475,1,4071,59.832533983295
2,oval,SKULL,1822904841,490,3,3771,60.2455560464028
3,oval,SKULL,-1151172088,486,1,4061,60.05093415973548
3,oval,SKULL,1822904841,503,3,3767,60.18200231807672
4,oval,SKULL,-1151172088,491,1,4076,60.12015364375317
4,oval,SKULL,1822904841,485,3,3766,60.46740050318099
5,oval,SKULL,-1151172088,512,1,4061,60.37730498650753
5,oval,SKULL,1822904841,505,3,3760,60.346294814798526
6,oval,SKULL,1822904841,486,3,3757,60.48303801148851
6,oval,SKULL,-1151172088,500,1,0,59.829334072611154
7,oval,SKULL,1822904841,484,3,3754,60.316099250281376
7,oval,SKULL,-1151172088,489,1,4043,59.85298665720951
8,oval,SKULL,-1151172088,489,1,4040,62.794481681305726
8,oval,SKULL,1822904841,491,3,3771,60.4182086212222
9,oval,SKULL,1822904841,483,3,3750,60.344782168165054
9,oval,SKULL,-1151172088,486,1,4044,59.89458747242808
10,oval,SKULL,-1151172088,501,1,4035,60.07972812139637
10,oval,SKULL,1822904841,491,3,3785,60.43578491065566
11,oval,SKULL,1822904841,501,3,3748,60.28736485225515
11,oval,SKULL,-1151172088,476,1,0,59.67998568831932
12,oval,SKULL,-1151172088,484,1,4033,59.92548361882585
12,oval,SKULL,1822904841,492,3,3744,60.386476185053404
13,oval,SKULL,1822904841,519,3,3739,60.23319162948612
13,oval,SKULL,-1151172088,483,1,0,62.233325245979906
14,oval,SKULL,-1151172088,491,1,0,59.8541135184778
14,oval,SKULL,1822904841,511,3,3744,60.442992083160775
15,oval,SKULL,1822904841,493,3,3736,60.53490746395998
15,oval,SKULL,-1151172088,504,1,4017,60.00672065141392
16,oval,SKULL,1822904841,501,3,3731,60.45591764118878
16,oval,SKULL,-1151172088,477,1,4017,59.80937261964358
17,oval,SKULL,1822904841,501,3,3755,60.3784398045651
17,oval,SKULL,-1151172088,499,1,4010,59.8566753794732
18,oval,SKULL,1822904841,496,3,3756,60.3564597778218
18,oval,SKULL,-1151172088,502,1,4010,59.74291040084743
19,oval,SKULL,1822904841,496,3,3740,60.415948635502275
19,oval,SKULL,-1151172088,484,1,4007,59.881932575009856
20,oval,SKULL,-1151172088,491,1,0,60.22390603446149
20,oval,SKULL,1822904841,488,3,3724,60.261234625575256
21,oval,SKULL,1822904841,494,3,3723,60.35633419847001
21,oval,SKULL,-1151172088,502,1,4007,59.890534339250465
22,oval,SKULL,-1151172088,492,1,4043,59.649071574797844
22,oval,SKULL,1822904841,490,3,3741,60.45868052722335
23,oval,SKULL,-1151172088,496,1,3998,59.77775071138666
23,oval,SKULL,1822904841,497,3,0,60.26057599884255
24,oval,SKULL,-1151172088,491,1,0,60.27333775300997
24,oval,SKULL,1822904841,515,3,0,60.242241012012336
25,oval,SKULL,-1151172088,481,1,4002,59.552912154508135
25,oval,SKULL,1822904841,493,3,3715,60.41187918798018
26,oval,SKULL,-1151172088,500,1,4067,59.851898886149876
26,oval,SKULL,1822904841,501,3,3715,60.49377546381622
27,oval,SKULL,1822904841,492,3,3736,60.35217720212148
27,oval,SKULL,-1151172088,490,1,0,60.22296113983042
28,oval,SKULL,1822904841,503,3,3772,60.49545745868022
28,oval,SKULL,-1151172088,475,1,3982,60.158117146939524
29,oval,SKULL,1822904841,486,3,0,60.33101840242987
29,oval,SKULL,-1151172088,481,1,0,59.765167585998746
30,oval,SKULL,1822904841,508,3,0,60.23534791276769
30,oval,SKULL,-1151172088,490,1,3993,59.87585949677636
1,oval,CHARGER,725373961,482,0,3946,53.01116997053297
1,oval,CHARGER,623596553,519,1,4048,61.21552786086299
2,oval,CHARGER,725373961,520,3,3912,60.687834774684724
2,oval,CHARGER,623596553,491,1,4116,60.75078860339395
3,oval,CHARGER,725373961,491,3,3907,60.688361425245645
3,oval,CHARGER,623596553,482,1,4039,60.859786054443795
4,oval,CHARGER,725373961,518,3,3902,60.546681487007916
4,oval,CHARGER,623596553,498,1,4028,60.44819806518802
5,oval,CHARGER,623596553,503,1,4022,60.59022507724637
5,oval,CHARGER,725373961,486,3,0,60.59734021076823
6,oval,CHARGER,725373961,488,3,3893,60.49812189906578
6,oval,CHARGER,623596553,495,1,4016,60.44846416675504
7,oval,CHARGER,725373961,517,3,3890,60.54448526602088
7,oval,CHARGER,623596553,497,1,0,60.58933132408438
8,oval,CHARGER,623596553,482,1,4008,60.3756946062447
8,oval,CHARGER,725373961,518,3,3893,60.41127615442637
9,oval,CHARGER,725373961,477,3,3896,60.5014435939852
9,oval,CHARGER,623596553,481,1,0,60.818140100481024
10,oval,CHARGER,725373961,494,3,3883,60.480211682771554
10,oval,CHARGER,623596553,497,1,4002,60.608884866499224
11,oval,CHARGER,623596553,507,1,3998,60.62711002289446
11,oval,CHARGER,725373961,510,3,0,60.69046117474839
12,oval,CHARGER,623596553,479,1,4049,60.65267107692657
12,oval,CHARGER,725373961,522,3,3872,60.70071409633276
13,oval,CHARGER,725373961,521,3,3866,60.70755703341562
13,oval,CHARGER,623596553,484,1,4006,60.49058479975698
14,oval,CHARGER,623596553,474,1,4007,60.7061776782547
14,oval,CHARGER,725373961,481,3,3865,60.72423943984201
15,oval,CHARGER,725373961,504,3,0,60.655052016789604
15,oval,CHARGER,623596553,496,1,3987,60.384008002157756
16,oval,CHARGER,725373961,514,3,3860,60.65040488821048
16,oval,CHARGER,623596553,487,1,4015,60.69600115823721
17,oval,CHARGER,725373961,510,3,3871,60.49569990607888
17,oval,CHARGER,623596553,490,1,3981,60.74093058886132
18,oval,CHARGER,725373961,501,3,3909,60.5250839689168
18,oval,CHARGER,623596553,481,1,3979,60.148789604449135
19,oval,CHARGER,623596553,481,1,4031,57.86964499708331
19,oval,CHARGER,725373961,476,3,3851,60.47443576809949
20,oval,CHARGER,623596553,491,1,3973,61.36890473647611
20,oval,CHARGER,725373961,530,3,3846,60.43647781435461
21,oval,CHARGER,725373961,523,3,0,60.8525387829353
21,oval,CHARGER,623596553,495,1,3970,60.444636538166186
22,oval,CHARGER,725373961,509,3,3894,60.49493354928035
22,oval,CHARGER,623596553,475,1,3965,60.47862894552979
23,oval,CHARGER,725373961,504,3,3837,60.5615375520764
23,oval,CHARGER,623596553,475,1,4000,60.81000689368358
24,oval,CHARGER,725373961,507,3,3869,60.78472167253697
